cloud_account_id,cloud_device_id,cloud_timestamp,metadata,model,serial,system_status,system_status_int,timestamp,ncpm0x5,ncpm1x0,mcpm1x0,ncpm4x0,tpsize,mcpm2x5_aqi,mcpm10_aqi,mcpm10,ncpm10,fanspd,mcpm2x5,mcpm4x0,ncpm2x5,temp_c,rh_percent,device_id,device_name
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T14:01:27.963Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 14:00:27+00:00,9.0,11.0,1.0,11.0,0.45,4.0,1.0,1.0,11.0,5999.0,1.0,1.0,11.0,23.0,85.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T15:01:28Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 15:00:27+00:00,10.0,11.0,1.0,11.0,0.44,4.0,1.0,1.0,11.0,5999.0,1.0,1.0,11.0,23.5,84.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T16:01:28.046Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 16:00:27+00:00,16.0,18.0,2.0,19.0,0.41,8.0,2.0,2.0,19.0,6000.0,2.0,2.0,19.0,23.3,85.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T17:01:28.075Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 17:00:27+00:00,12.0,14.0,2.0,14.0,0.43,8.0,2.0,2.0,14.0,6001.0,2.0,2.0,14.0,26.6,73.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T18:01:28.122Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 18:00:27+00:00,9.0,10.0,1.0,10.0,0.44,4.0,1.0,1.0,10.0,5997.0,1.0,1.0,10.0,31.2,61.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T19:01:28.171Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 19:00:27+00:00,12.0,14.0,2.0,14.0,0.46,8.0,2.0,2.0,14.0,6000.0,2.0,2.0,14.0,29.3,63.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T20:01:28.221Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 20:00:27+00:00,16.0,19.0,2.0,19.0,0.45,8.0,2.0,2.0,19.0,6000.0,2.0,2.0,19.0,27.7,65.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T21:01:28.257Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 21:00:27+00:00,18.0,21.0,2.0,21.0,0.48,13.0,3.0,3.0,21.0,5999.0,3.0,3.0,21.0,26.1,72.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T22:01:28.298Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 22:00:27+00:00,16.0,19.0,2.0,19.0,0.43,8.0,2.0,2.0,19.0,6000.0,2.0,2.0,19.0,25.0,71.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T23:01:28.336Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 23:00:27+00:00,13.0,15.0,2.0,15.0,0.47,8.0,2.0,2.0,15.0,5999.0,2.0,2.0,15.0,24.8,70.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-14T00:01:28.376Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-14 00:00:27+00:00,17.0,19.0,2.0,20.0,0.47,8.0,2.0,2.0,20.0,6000.0,2.0,2.0,20.0,23.9,75.0,cv884m3ne4ath43m7hu0,BS-11
